timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,message_type,mmsi,call_sign,imo_number,speed__knots_,heading__deg_,course_over_ground__deg_,rate_of_turn,ship_type,destination,naviagation_status,dimension_bow,dimension_stern,dimension_port,dimension_starboard,draft,source_type,received_by_EDC,received_by_receiver,receiver,signal_strength,signal_noise_ratio,latitude,longitude,geometry
2024-01-14 21:56:07+00:00,,,clampToGround,-1,0,1,,,1,368133920,WDL4693,0,0,6,202,0,Reserved (Local Use),USBUS>USBEP,Reserved for future use,197,22,17,16,3.4,0,2024-01-14T21:56:07Z,,,-90,27,38.619913,-82.85971,POINT Z (-82.85971 38.619913 0)
2024-01-14 21:56:18+00:00,,,clampToGround,-1,0,1,,,1,368133920,WDL4693,0,0,6,91,0,Reserved (Local Use),USBUS>USBEP,Reserved for future use,197,22,17,16,3.4,0,2024-01-14T21:56:18Z,,,-93,26,38.619915,-82.859712,POINT Z (-82.859712 38.619915 0)
2024-01-14 21:56:28+00:00,,,clampToGround,-1,0,1,,,1,368133920,WDL4693,0,0,6,348,0,Reserved (Local Use),USBUS>USBEP,Reserved for future use,197,22,17,16,3.4,0,2024-01-14T21:56:28Z,,,-90,27,38.619916,-82.859712,POINT Z (-82.859712 38.619916 0)
2024-01-14 21:56:37+00:00,,,clampToGround,-1,0,1,,,1,368133920,WDL4693,0,0,6,322,0,Reserved (Local Use),USBUS>USBEP,Reserved for future use,197,22,17,16,3.4,0,2024-01-14T21:56:37Z,,,-94,25,38.619915,-82.859712,POINT Z (-82.859712 38.619915 0)
2024-01-14 21:56:47+00:00,,,clampToGround,-1,0,1,,,1,368133920,WDL4693,0,0,6,319,0,Reserved (Local Use),USBUS>USBEP,Reserved for future use,197,22,17,16,3.4,0,2024-01-14T21:56:47Z,,,-90,28,38.619915,-82.859712,POINT Z (-82.859712 38.619915 0)
2024-01-14 21:56:57+00:00,,,clampToGround,-1,0,1,,,1,368133920,WDL4693,0,0,6,230,0,Reserved (Local Use),USBUS>USBEP,Reserved for future use,197,22,17,16,3.4,0,2024-01-14T21:56:57Z,,,-94,25,38.619915,-82.85971,POINT Z (-82.85971 38.619915 0)
2024-01-14 21:57:07+00:00,,,clampToGround,-1,0,1,,,1,368133920,WDL4693,0,0,7,98,0,Reserved (Local Use),USBUS>USBEP,Reserved for future use,197,22,17,16,3.4,0,2024-01-14T21:57:07Z,,,-90,28,38.619915,-82.859712,POINT Z (-82.859712 38.619915 0)
2024-01-14 21:57:18+00:00,,,clampToGround,-1,0,1,,,1,368133920,WDL4693,0,0,6,304,0,Reserved (Local Use),USBUS>USBEP,Reserved for future use,197,22,17,16,3.4,0,2024-01-14T21:57:18Z,,,-95,24,38.619918,-82.859715,POINT Z (-82.859715 38.619918 0)
2024-01-14 21:57:28+00:00,,,clampToGround,-1,0,1,,,1,368133920,WDL4693,0,0,6,338,0,Reserved (Local Use),USBUS>USBEP,Reserved for future use,197,22,17,16,3.4,0,2024-01-14T21:57:28Z,,,-91,27,38.61992,-82.859717,POINT Z (-82.859717 38.61992 0)
2024-01-14 21:57:37+00:00,,,clampToGround,-1,0,1,,,1,368133920,WDL4693,0,0,6,301,0,Reserved (Local Use),USBUS>USBEP,Reserved for future use,197,22,17,16,3.4,0,2024-01-14T21:57:37Z,,,-96,23,38.619918,-82.859719,POINT Z (-82.859719 38.619918 0)
2024-01-14 21:57:47+00:00,,,clampToGround,-1,0,1,,,1,368133920,WDL4693,0,0,6,330,0,Reserved (Local Use),USBUS>USBEP,Reserved for future use,197,22,17,16,3.4,0,2024-01-14T21:57:47Z,,,-91,27,38.619918,-82.859717,POINT Z (-82.859717 38.619918 0)
2024-01-14 21:57:57+00:00,,,clampToGround,-1,0,1,,,1,368133920,WDL4693,0,0,6,318,0,Reserved (Local Use),USBUS>USBEP,Reserved for future use,197,22,17,16,3.4,0,2024-01-14T21:57:57Z,,,-97,22,38.619918,-82.859717,POINT Z (-82.859717 38.619918 0)
2024-01-14 21:58:07+00:00,,,clampToGround,-1,0,1,,,1,368133920,WDL4693,0,0,6,330,0,Reserved (Local Use),USBUS>USBEP,Reserved for future use,197,22,17,16,3.4,0,2024-01-14T21:58:07Z,,,-91,27,38.61992,-82.859717,POINT Z (-82.859717 38.61992 0)
2024-01-14 21:58:18+00:00,,,clampToGround,-1,0,1,,,1,368133920,WDL4693,0,0,6,222,0,Reserved (Local Use),USBUS>USBEP,Reserved for future use,197,22,17,16,3.4,0,2024-01-14T21:58:18Z,,,-97,22,38.61992,-82.859714,POINT Z (-82.859714 38.61992 0)
2024-01-14 21:58:28+00:00,,,clampToGround,-1,0,1,,,1,368133920,WDL4693,0,0,6,308,0,Reserved (Local Use),USBUS>USBEP,Reserved for future use,197,22,17,16,3.4,0,2024-01-14T21:58:28Z,,,-92,26,38.61992,-82.859714,POINT Z (-82.859714 38.61992 0)
2024-01-14 21:58:37+00:00,,,clampToGround,-1,0,1,,,1,368133920,WDL4693,0,0,6,322,0,Reserved (Local Use),USBUS>USBEP,Reserved for future use,197,22,17,16,3.4,0,2024-01-14T21:58:37Z,,,-98,21,38.61992,-82.859712,POINT Z (-82.859712 38.61992 0)
2024-01-14 21:58:47+00:00,,,clampToGround,-1,0,1,,,1,368133920,WDL4693,0,0,6,315,0,Reserved (Local Use),USBUS>USBEP,Reserved for future use,197,22,17,16,3.4,0,2024-01-14T21:58:47Z,,,-93,25,38.61992,-82.859712,POINT Z (-82.859712 38.61992 0)
